Requirement already satisfied: torchvision in /home/algh/.local/lib/python3.11/site-packages (0.16.2)
Requirement already satisfied: numpy in /opt/itu/easybuild/software/SciPy-bundle/2023.07-gfbf-2023a/lib/python3.11/site-packages (from torchvision) (1.25.1)
Requirement already satisfied: requests in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from torchvision) (2.31.0)
Requirement already satisfied: torch==2.1.2 in /opt/itu/easybuild/software/PyTorch/2.1.2-foss-2023a-CUDA-12.1.1/lib/python3.11/site-packages (from torchvision) (2.1.2)
Requirement already satisfied: pillow!=8.3.*,>=5.3.0 in /opt/itu/easybuild/software/Pillow/10.0.0-GCCcore-12.3.0/lib/python3.11/site-packages (from torchvision) (10.0.0)
Requirement already satisfied: filelock in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from torch==2.1.2->torchvision) (3.12.2)
Requirement already satisfied: typing-extensions in /home/algh/.local/lib/python3.11/site-packages (from torch==2.1.2->torchvision) (4.15.0)
Requirement already satisfied: sympy in /opt/itu/easybuild/software/sympy/1.12-gfbf-2023a/lib/python3.11/site-packages (from torch==2.1.2->torchvision) (1.12)
Requirement already satisfied: networkx in /opt/itu/easybuild/software/networkx/3.1-gfbf-2023a/lib/python3.11/site-packages (from torch==2.1.2->torchvision) (3.1)
Requirement already satisfied: jinja2 in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from torch==2.1.2->torchvision) (3.1.2)
Requirement already satisfied: fsspec in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from torch==2.1.2->torchvision) (2023.6.0)
Requirement already satisfied: MarkupSafe>=2.0 in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from jinja2->torch==2.1.2->torchvision) (2.1.3)
Requirement already satisfied: charset-normalizer<4,>=2 in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from requests->torchvision) (3.1.0)
Requirement already satisfied: idna<4,>=2.5 in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from requests->torchvision) (3.4)
Requirement already satisfied: urllib3<3,>=1.21.1 in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from requests->torchvision) (1.26.16)
Requirement already satisfied: certifi>=2017.4.17 in /opt/itu/easybuild/software/Python-bundle-PyPI/2023.06-GCCcore-12.3.0/lib/python3.11/site-packages (from requests->torchvision) (2023.5.7)
Requirement already satisfied: mpmath>=0.19 in /opt/itu/easybuild/software/SciPy-bundle/2023.07-gfbf-2023a/lib/python3.11/site-packages (from sympy->torch==2.1.2->torchvision) (1.3.0)
/home/algh/.local/lib/python3.11/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/home/algh/.local/lib/python3.11/site-packages/torchvision/image.so: undefined symbol: _ZN3c106detail23torchInternalAssertFailEPKcS2_jS2_RKSs'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
[MNIST] Using device: cuda, arch=base, saving to results_mnist/mnist_lrG0.0001_lrD0.0004_z100_bs256_base_20251019_174837
Epoch 1/50 | D 0.656 | G 1.744
Epoch 2/50 | D 1.038 | G 2.521
Epoch 3/50 | D 0.365 | G 2.982
Epoch 4/50 | D 1.161 | G 0.626
Epoch 5/50 | D 0.334 | G 1.785
Epoch 6/50 | D 0.355 | G 1.355
Epoch 7/50 | D 0.307 | G 2.549
Epoch 8/50 | D 0.374 | G 2.292
Epoch 9/50 | D 0.575 | G 4.745
Epoch 10/50 | D 0.420 | G 2.061
Epoch 11/50 | D 0.460 | G 2.296
Epoch 12/50 | D 0.393 | G 1.808
Epoch 13/50 | D 0.546 | G 3.935
Epoch 14/50 | D 0.475 | G 1.483
Epoch 15/50 | D 0.353 | G 3.050
Epoch 16/50 | D 0.455 | G 1.819
Epoch 17/50 | D 0.907 | G 0.861
Epoch 18/50 | D 0.325 | G 3.290
Epoch 19/50 | D 0.307 | G 2.246
Epoch 20/50 | D 0.368 | G 2.088
Epoch 21/50 | D 0.323 | G 3.100
Epoch 22/50 | D 0.672 | G 4.641
Epoch 23/50 | D 3.506 | G 6.814
Epoch 24/50 | D 0.479 | G 4.385
Epoch 25/50 | D 0.301 | G 3.126
Epoch 26/50 | D 0.349 | G 2.704
Epoch 27/50 | D 0.388 | G 2.173
Epoch 28/50 | D 0.349 | G 1.989
Epoch 29/50 | D 0.389 | G 2.522
Epoch 30/50 | D 0.280 | G 3.683
Epoch 31/50 | D 0.629 | G 1.119
Epoch 32/50 | D 0.447 | G 1.323
Epoch 33/50 | D 0.500 | G 1.702
Epoch 34/50 | D 0.523 | G 5.186
Epoch 35/50 | D 0.210 | G 4.046
Epoch 36/50 | D 0.331 | G 2.153
Epoch 37/50 | D 0.419 | G 3.037
Epoch 38/50 | D 0.329 | G 3.176
Epoch 39/50 | D 0.213 | G 3.618
Epoch 40/50 | D 0.562 | G 4.709
Epoch 41/50 | D 0.412 | G 2.089
Epoch 42/50 | D 0.404 | G 2.020
Epoch 43/50 | D 0.280 | G 2.285
Epoch 44/50 | D 1.334 | G 5.713
Epoch 45/50 | D 0.263 | G 2.290
Epoch 46/50 | D 0.252 | G 2.989
Epoch 47/50 | D 0.372 | G 3.962
Epoch 48/50 | D 0.286 | G 3.061
Epoch 49/50 | D 0.278 | G 3.815
Epoch 50/50 | D 0.512 | G 1.766
